NC_027961.1	1	15264	scf_41	25392	40656	-1	99.85
NC_071295.1	3039540	3041538	scf_3	3018469	3016537	-1	94.17
NC_071295.1	3041646	3045154	scf_3	3021904	3018465	-1	95.92
NC_071295.1	3044488	3057083	scf_3	3035391	3022823	-1	97.17
NC_071295.1	3057065	3060758	scf_3	3040032	3036290	-1	96.15
NC_071295.1	3060988	3070056	scf_3	3049098	3040007	-1	95.94
NC_071295.1	3070063	3081412	scf_3	3060549	3049214	-1	97.92
NC_071295.1	3081406	3091354	scf_3	3070750	3060814	-1	96.41
NC_071295.1	3091357	3115843	scf_3	3095600	3070942	-1	96.57
NC_071295.1	3115842	3117539	scf_3	3097552	3095857	-1	98.06
NC_071295.1	3117719	3137100	scf_3	3116968	3097558	-1	97.33
NC_071295.1	3137101	3137421	scf_3	3117388	3117068	-1	99.69
NC_071295.1	3138575	3139718	scf_3	3118528	3117382	-1	97.14
NC_071295.1	3139713	3143910	scf_3	3123037	3118791	-1	97.11
NC_071295.1	3143907	3146937	scf_3	3126302	3123251	-1	98.53
NC_071295.1	3146930	3152897	scf_3	3136604	3130663	-1	97.45
NC_071295.1	3152890	3163971	scf_3	3148153	3137140	-1	97.21
NC_071295.1	3163972	3177033	scf_3	3163975	3150949	-1	95.59
NC_071295.1	3177039	3197828	scf_3	3184851	3164093	-1	99.19
NC_071295.1	3198141	3208855	scf_3	3195446	3184851	-1	97.92
NC_071295.1	3208854	3213113	scf_3	3199658	3195403	-1	98.66
NC_071295.1	3213117	3236478	scf_3	3220850	3197452	-1	97.10
NC_071295.1	3236479	3250027	scf_3	3235638	3222143	-1	97.69
NC_071295.1	3250020	3282656	scf_3	3266936	3234293	-1	97.49
NC_071295.1	3282913	3292205	scf_3	3276192	3266932	-1	98.07
NC_071295.1	3292337	3319609	scf_3	3303511	3276209	-1	98.08
NC_071295.1	3319612	3325818	scf_3	3309813	3303626	-1	97.79
NC_071295.1	3326011	3332954	scf_3	3316788	3309925	-1	96.06
NC_071295.1	3334240	3370361	scf_3	3352921	3316782	-1	98.57
NC_071295.1	3370412	3382034	scf_3	3364507	3352920	-1	97.42
NC_071295.1	3382034	3479492	scf_3	3462152	3364663	-1	99.83
NC_071295.1	3479491	3479712	scf_3	3462465	3462244	-1	99.10
NC_071295.1	3479852	3495163	scf_3	3477819	3462465	-1	99.28
NC_071295.1	3495288	3538580	scf_3	3520955	3477820	-1	98.11
NC_071295.1	3538590	3575919	scf_3	3558459	3521117	-1	98.20
NC_071295.1	3575993	3583013	scf_3	3565438	3558457	-1	96.89
NC_071295.1	3583017	3588756	scf_3	3571463	3565625	-1	97.18
NC_071295.1	3588605	3590140	scf_3	3572918	3571378	-1	98.05
NC_071295.1	3590228	3606528	scf_3	3590384	3574143	-1	98.67
NC_071295.1	3606677	3607279	scf_3	3590964	3590385	-1	94.21
NC_071295.1	3607365	3623761	scf_3	3607372	3590962	-1	98.15
NC_071295.1	3624051	3632575	scf_3	3615867	3607381	-1	98.47
NC_071295.1	3632640	3664088	scf_3	3647236	3615865	-1	98.53
NC_071295.1	3671546	3688048	scf_3	3665768	3649135	-1	97.07
NC_071295.1	3688048	3703438	scf_3	3681321	3665866	-1	97.99
NC_071295.1	3703600	3704763	scf_3	3682502	3681344	-1	96.75
NC_071295.1	3704764	3706376	scf_3	3684250	3682634	-1	99.01
NC_071295.1	3706389	3711266	scf_3	3689348	3684503	-1	97.83
NC_071295.1	3711477	3726183	scf_3	3704045	3689372	-1	97.76
NC_071295.1	3728682	3729407	scf_3	3704817	3704085	-1	91.89
NC_071295.1	3729388	9783996	scf_3	9759649	3704989	-1	99.99
NC_071295.1	9764014	12177723	scf_3	12153380	9739652	-1	99.99
NC_071295.1	12177655	12180091	scf_3	12155816	12153380	-1	100.00
NC_071295.1	12180159	12182589	scf_3	12158244	12155814	-1	100.00
NC_071295.1	12182520	12182734	scf_3	12158459	12158245	-1	99.53
NC_071295.1	12182748	12505625	scf_3	12481282	12158405	-1	100.00
NC_071295.1	12514145	12514254	scf_10	2	112	-1	97.30
NC_071296.1	6354	538106	scf_10	11500711	12032464	-1	99.99
NC_071296.1	517793	5703998	scf_10	6334822	11521032	-1	99.99
NC_071296.1	5703074	11928204	scf_10	110611	6335794	-1	99.99
NC_071296.1	11906669	12037696	scf_10	1113	132156	-1	99.99
NC_071296.1	12043733	12044302	scf_33	84470	83901	-1	100.00
NC_071297.1	2891	111560	scf_8	10195939	10304582	-1	99.97
NC_071297.1	128510	2202139	scf_4	2135449	61845	-1	99.99
NC_071297.1	2202135	2204145	scf_4	2142231	2140259	-1	97.17
NC_071297.1	2204141	2212045	scf_4	2156247	2148366	-1	98.85
NC_071297.1	2212041	2221715	scf_4	2166173	2156507	-1	99.27
NC_071297.1	2222045	2225910	scf_4	2170054	2166160	-1	96.91
NC_071297.1	2225915	2233494	scf_4	2177822	2170252	-1	96.51
NC_071297.1	2234074	2245486	scf_4	2189563	2178162	-1	98.56
NC_071297.1	2245462	2245749	scf_4	2189953	2189666	-1	98.61
NC_071297.1	2245866	2257957	scf_4	2201898	2189960	-1	97.69
NC_071297.1	2258059	2271818	scf_4	2215716	2201898	-1	96.09
NC_071297.1	2276370	2276768	scf_4	2216166	2215774	-1	95.75
NC_071297.1	2276765	2296675	scf_4	2239355	2219470	-1	97.98
NC_071297.1	2296675	2303282	scf_4	2246035	2239457	-1	97.53
NC_071297.1	2303293	2308876	scf_22	258552	252970	-1	99.75
NC_071297.1	2308885	2320072	scf_4	2257228	2246024	-1	97.89
NC_071297.1	2320342	2365305	scf_4	2302184	2257225	-1	97.56
NC_071297.1	2365302	2375308	scf_4	2312199	2302277	-1	96.62
NC_071297.1	2375306	2395489	scf_4	2332855	2312570	-1	97.16
NC_071297.1	2395497	2399116	scf_4	2336601	2332966	-1	96.05
NC_071297.1	2399094	2408272	scf_4	2345922	2336745	-1	97.37
NC_071297.1	2408277	2411793	scf_4	2349565	2346057	-1	97.87
NC_071297.1	2412076	2413217	scf_4	2350716	2349566	-1	98.26
NC_071297.1	2413549	2426413	scf_4	2363565	2350716	-1	97.78
NC_071297.1	2426557	2427707	scf_4	2364721	2363571	-1	97.75
NC_071297.1	2429647	2433150	scf_4	2368252	2364721	-1	97.63
NC_071297.1	2433103	2433583	scf_4	2368767	2368287	-1	98.75
NC_071297.1	2439912	2453524	scf_4	2382286	2368757	-1	96.28
NC_071297.1	2453611	2455053	scf_4	2383769	2382281	-1	95.84
NC_071297.1	2455092	2459046	scf_4	2388050	2384114	-1	97.31
NC_071297.1	2459069	2470917	scf_4	2400755	2388949	-1	99.26
NC_071297.1	2468195	2499668	scf_4	2432191	2400755	-1	98.25
NC_071297.1	2500008	2543837	scf_4	2475994	2432356	-1	97.09
NC_071297.1	2543838	2552074	scf_4	2484629	2476195	-1	95.42
NC_071297.1	2552268	2576312	scf_4	2508667	2484637	-1	97.97
NC_071297.1	2576554	2599694	scf_4	2531795	2508664	-1	99.23
NC_071297.1	2599689	2604975	scf_4	2537497	2532185	-1	97.08
NC_071297.1	2605167	3552923	scf_4	3485259	2537496	-1	99.99
NC_071297.1	3553135	7206700	scf_4	7138995	3485471	-1	99.99
NC_071297.1	7206796	7207339	scf_4	7139535	7138995	-1	99.45
NC_071297.1	7207339	10367323	scf_4	10299662	7139654	-1	99.99
NC_071297.1	10367324	10392322	scf_72	24999	1	-1	100.00
NC_071297.1	10392323	10542321	scf_4	10449761	10299763	-1	100.00
NC_071297.1	10542322	10567320	scf_70	24999	1	-1	100.00
NC_071297.1	10567321	11317317	scf_4	11199860	10449862	-1	99.99
NC_071297.1	11317318	11342316	scf_71	24999	1	-1	100.00
NC_071297.1	11342317	11813538	scf_4	11671106	11199961	-1	99.98
NC_071297.1	11812744	11856275	scf_4	11713919	11670388	-1	99.72
NC_071298.1	1	1251664	scf_6	10564729	11816396	-1	99.99
NC_071298.1	1231670	1682223	scf_6	10134163	10584727	-1	99.99
NC_071298.1	1662230	1917178	scf_6	9899206	10154160	-1	99.98
NC_071298.1	1897184	2695595	scf_6	9120784	9919204	-1	99.99
NC_071298.1	2695825	2857111	scf_6	8959272	9120558	-1	100.00
NC_071298.1	2857212	7511702	scf_6	4304680	8959169	-1	99.99
NC_071298.1	7511630	11813212	scf_6	3196	4304704	-1	99.99
NC_071298.1	11799301	11816407	scf_6	1	17107	-1	100.00
NC_071299.1	12108	2765123	scf_14	8969123	11722146	-1	99.99
NC_071299.1	2745160	5315120	scf_14	6419148	8989120	-1	99.99
NC_071299.1	5295124	11017181	scf_14	717042	6439128	-1	99.99
NC_071299.1	10997207	11734224	scf_14	1	737040	-1	99.99
NC_071300.1	14636	9127938	scf_24	9113235	1	-1	99.99
NC_071300.1	9127878	9259854	scf_24	9245208	9113235	-1	99.97
NC_071300.1	9239466	11228630	scf_24	11213985	9224828	-1	99.99
NC_071300.1	11227126	11250008	scf_24	11235445	11212521	-1	99.60
NC_071301.1	57500	2354212	scf_1	8794792	11091506	-1	99.99
NC_071301.1	2354653	7777779	scf_1	3371276	8794351	-1	99.99
NC_071301.1	7770294	7778858	scf_1	3370557	3379121	-1	99.99
NC_071301.1	7778693	7779894	scf_1	3369357	3370558	-1	100.00
NC_071301.1	7779698	9943232	scf_1	1205832	3369357	-1	99.99
NC_071301.1	9922608	10372581	scf_1	776483	1226446	-1	99.99
NC_071301.1	10371547	10376946	scf_1	772158	777561	-1	99.91
NC_071301.1	10376907	11141412	scf_1	7653	772157	-1	99.99
NC_071302.1	20713	47491	scf_23	26770	1	-1	99.88
NC_071302.1	71831	128787	scf_21	10551708	10608729	-1	99.62
NC_071302.1	122586	5090678	scf_7	4985867	17830	-1	99.99
NC_071302.1	5090779	8763318	scf_7	8658487	4985970	-1	99.99
NC_071302.1	8763349	8788011	scf_7	8683401	8658632	-1	98.87
NC_071302.1	8788009	8794969	scf_7	8690454	8683438	-1	97.02
NC_071302.1	8795349	8802346	scf_7	8697393	8690456	-1	97.79
NC_071302.1	8802342	8822915	scf_7	8718242	8697614	-1	97.75
NC_071302.1	8822914	8829104	scf_7	8724964	8718748	-1	95.48
NC_071302.1	8829112	8838705	scf_7	8735031	8725447	-1	97.02
NC_071302.1	8838873	8856593	scf_7	8752692	8735030	-1	97.71
NC_071302.1	8856585	9303537	scf_7	9200241	8753218	-1	99.87
NC_071302.1	9304014	9304630	scf_7	9200878	9200240	-1	95.93
NC_071302.1	9304678	9309724	scf_7	9208999	9203977	-1	96.90
NC_071302.1	9309725	9314008	scf_7	9213157	9208873	-1	99.63
NC_071302.1	9314174	9333634	scf_7	9232650	9213157	-1	97.45
NC_071302.1	9333633	9339465	scf_7	9239796	9233935	-1	94.97
NC_071302.1	9339481	9343503	scf_7	9243803	9239769	-1	98.71
NC_071302.1	9343491	9363290	scf_7	9263907	9244077	-1	98.34
NC_071302.1	9363577	9372367	scf_7	9272713	9263892	-1	97.44
NC_071302.1	9372409	9373922	scf_7	9274468	9272958	-1	97.89
NC_071302.1	9374025	9388540	scf_7	9288993	9274468	-1	98.72
NC_071302.1	9388540	9394678	scf_7	9295252	9289121	-1	98.64
NC_071302.1	9394712	9427344	scf_7	9327768	9295228	-1	97.06
NC_071302.1	9427350	9431632	scf_7	9332028	9327863	-1	96.13
NC_071302.1	9431841	9435142	scf_7	9335298	9332024	-1	95.91
NC_071302.1	9435196	9443765	scf_7	9344052	9335448	-1	97.52
NC_071302.1	9444155	9444683	scf_7	9344581	9344051	-1	98.31
NC_071302.1	9445126	9461887	scf_7	9361470	9344696	-1	98.92
NC_071302.1	9461929	9524323	scf_7	9424125	9361634	-1	98.55
NC_071302.1	9524327	9533762	scf_7	9433679	9424249	-1	98.01
NC_071302.1	9533799	9539863	scf_7	9439904	9433678	-1	94.80
NC_071302.1	9539852	9543230	scf_7	9444395	9441025	-1	97.58
NC_071302.1	9543220	9543479	scf_7	9444894	9444635	-1	99.23
NC_071302.1	9543479	9543771	scf_7	9444890	9445180	-1	93.58
NC_071302.1	9543690	9550952	scf_7	9452799	9445450	-1	97.86
NC_071302.1	9556302	9557947	scf_7	9454471	9452829	-1	98.36
NC_071302.1	9558254	9591170	scf_7	9487636	9454454	-1	97.62
NC_071302.1	9591164	9619396	scf_7	9520730	9492528	-1	98.45
NC_071302.1	9619855	9634243	scf_7	9535200	9520779	-1	98.36
NC_071302.1	9634558	9650481	scf_7	9551239	9535197	-1	97.62
NC_071302.1	9650706	9666830	scf_7	9567375	9551251	-1	97.47
NC_071302.1	9666857	9670405	scf_7	9571140	9567624	-1	96.89
NC_071302.1	9670876	9708545	scf_7	9608663	9571191	-1	98.15
NC_071302.1	9708547	9709696	scf_7	9611773	9610629	-1	97.92
NC_071302.1	9714022	9716498	scf_7	9614241	9611770	-1	98.47
NC_071302.1	9716507	10950406	scf_7	10848870	9614844	-1	99.98
NC_071303.1	2	1879057	scf_26	8940149	10819203	-1	99.99
NC_071303.1	1879260	5715191	scf_26	5104005	8939947	-1	99.99
NC_071303.1	5715191	5738099	scf_26	5080958	5103866	-1	99.97
NC_071303.1	5738200	9236815	scf_26	1582251	5080855	-1	99.99
NC_071303.1	9237190	9942070	scf_26	876994	1581876	-1	99.99
NC_071303.1	9942007	10819065	scf_26	1	876994	-1	99.99
NC_071304.1	1	738256	scf_21	738253	1	-1	99.98
NC_071304.1	738701	1001530	scf_21	1001496	738698	-1	99.99
NC_071304.1	981545	10552145	scf_21	10552094	981523	-1	99.99
NC_071305.1	2486	10225	scf_27	8436585	8444324	-1	100.00
NC_071305.1	16010	16743	scf_12	5562	4829	-1	100.00
NC_071305.1	45217	854480	scf_2	9451078	10260341	-1	99.99
NC_071305.1	852182	2324439	scf_2	7981097	9453328	-1	99.98
NC_071305.1	2324441	2333992	scf_2	7968965	7978428	-1	97.76
NC_071305.1	2334169	2340461	scf_2	7962684	7968967	-1	94.83
NC_071305.1	2340689	2348235	scf_2	7955108	7962679	-1	98.47
NC_071305.1	2355303	2382279	scf_2	7928141	7955111	-1	98.11
NC_071305.1	2383462	2386294	scf_2	7924972	7927830	-1	97.87
NC_071305.1	2386226	2388548	scf_2	7922822	7925133	-1	97.64
NC_071305.1	2388546	2396313	scf_2	7914857	7922584	-1	97.19
NC_071305.1	2396526	2403519	scf_2	7907639	7914613	-1	97.61
NC_071305.1	2404142	2410558	scf_2	7901251	7907641	-1	96.12
NC_071305.1	2410559	8928899	scf_2	1382746	7901091	-1	99.99
NC_071305.1	8928961	8931279	scf_2	1380434	1382752	-1	100.00
NC_071305.1	8931278	10296563	scf_2	15092	1380367	-1	99.99
NC_071305.1	10297642	10311656	scf_2	2	14001	-1	99.86
NC_071306.1	1	2678588	scf_5	7596879	10275434	-1	99.99
NC_071306.1	2679753	2693904	scf_5	7582866	7596883	-1	96.46
NC_071306.1	2693898	2697370	scf_5	7573883	7577339	-1	97.53
NC_071306.1	2697384	2697800	scf_5	7573347	7573772	-1	96.49
NC_071306.1	2700310	2733684	scf_5	7539890	7573352	-1	97.83
NC_071306.1	2733768	2751637	scf_5	7521725	7539634	-1	99.37
NC_071306.1	2752167	2854010	scf_5	7419871	7521724	-1	99.59
NC_071306.1	2854130	7945044	scf_5	2328826	7419751	-1	99.99
NC_071306.1	7924217	9939424	scf_5	334484	2349665	-1	99.99
NC_071306.1	9939618	9944020	scf_5	330132	334474	-1	96.46
NC_071306.1	9944222	9946875	scf_5	327498	330132	-1	96.09
NC_071306.1	9946864	9947793	scf_5	326489	327468	-1	88.94
NC_071306.1	9948204	9951220	scf_5	323492	326490	-1	97.72
NC_071306.1	9951220	9964915	scf_5	309630	323346	-1	97.22
NC_071306.1	9965178	9965657	scf_5	309161	309640	-1	99.17
NC_071306.1	9965655	9969534	scf_5	303985	307867	-1	98.10
NC_071306.1	9969880	9976013	scf_5	297843	304008	-1	97.58
NC_071306.1	9976169	9977255	scf_5	296732	297843	-1	95.41
NC_071306.1	9977607	9979313	scf_5	295027	296735	-1	96.70
NC_071306.1	9979313	9982294	scf_5	291919	294856	-1	94.00
NC_071306.1	9982293	9985077	scf_5	288793	291594	-1	98.07
NC_071306.1	9985073	9988149	scf_5	282495	285652	-1	95.12
NC_071306.1	9988824	10000310	scf_5	270628	282156	-1	97.66
NC_071306.1	10000311	10270740	scf_5	2	270449	-1	99.97
NC_071307.1	49824	4722419	scf_8	4690287	17680	-1	99.99
NC_071307.1	4722673	6288043	scf_8	6255639	4690272	-1	99.99
NC_071307.1	6288516	6296835	scf_8	6263983	6255638	-1	97.95
NC_071307.1	6296847	6303863	scf_8	6271098	6264090	-1	98.99
NC_071307.1	6303859	6305750	scf_8	6278295	6276424	-1	98.15
NC_071307.1	6305952	6315343	scf_8	6287720	6278300	-1	97.84
NC_071307.1	6315252	6320113	scf_8	6292155	6287233	-1	97.63
NC_071307.1	6320106	6321496	scf_8	6293683	6292287	-1	99.00
NC_071307.1	6321969	6347030	scf_8	6318736	6293681	-1	97.95
NC_071307.1	6347051	6358661	scf_8	6330544	6318892	-1	98.18
NC_071307.1	6358768	6396804	scf_8	6368866	6330544	-1	97.39
NC_071307.1	6396900	6400399	scf_8	6372362	6368866	-1	97.64
NC_071307.1	6400398	6400979	scf_8	6373127	6372483	-1	87.13
NC_071307.1	6401107	6406145	scf_8	6378201	6373144	-1	98.19
NC_071307.1	6406239	6428507	scf_8	6400459	6378201	-1	99.52
NC_071307.1	6429347	6449245	scf_8	6420373	6400454	-1	99.62
NC_071307.1	6449245	6451490	scf_8	6422774	6420538	-1	98.31
NC_071307.1	6451475	6456736	scf_8	6428189	6423010	-1	94.85
NC_071307.1	6457661	6467990	scf_8	6438842	6428500	-1	97.91
NC_071307.1	6467990	6470481	scf_8	6441486	6438990	-1	99.08
NC_071307.1	6470579	6481585	scf_8	6452521	6441492	-1	99.25
NC_071307.1	6485827	6487439	scf_8	6454126	6452515	-1	99.94
NC_071307.1	6487696	6498509	scf_8	6464969	6454123	-1	98.68
NC_071307.1	6498198	6510664	scf_8	6477310	6464915	-1	97.71
NC_071307.1	6510878	6518251	scf_8	6484850	6477444	-1	97.21
NC_071307.1	6522570	6538851	scf_8	6501061	6484846	-1	97.98
NC_071307.1	6539120	6563657	scf_8	6525538	6501059	-1	98.72
NC_071307.1	6563660	9065544	scf_8	9027798	6525946	-1	99.98
NC_071307.1	9065645	9488539	scf_8	9450827	9027901	-1	99.99
NC_071307.1	9487250	10242959	scf_8	10205190	9449483	-1	99.99
NC_071308.1	11845	10157692	scf_11	10151829	5982	-1	99.99
NC_071308.1	10157734	10187793	scf_11	10182897	10152839	-1	99.92
NC_071309.1	7187	907972	scf_29	900789	1	-1	99.99
NC_071309.1	893783	1163637	scf_29	1156456	886578	-1	99.98
NC_071309.1	1143025	3893891	scf_29	3886708	1135836	-1	99.99
NC_071309.1	3894151	3922784	scf_29	3915312	3886717	-1	98.55
NC_071309.1	3923054	3949484	scf_29	3941782	3915304	-1	97.20
NC_071309.1	3949518	3955115	scf_29	3947379	3941776	-1	98.17
NC_071309.1	3955111	3969535	scf_29	3967862	3953479	-1	98.60
NC_071309.1	3969535	4019962	scf_29	4018204	3967952	-1	97.84
NC_071309.1	4019997	4027358	scf_29	4025747	4018372	-1	95.23
NC_071309.1	4027364	4051470	scf_29	4050009	4025903	-1	98.27
NC_071309.1	4051465	4075374	scf_29	4074020	4050265	-1	97.81
NC_071309.1	4075625	4081600	scf_29	4080001	4074014	-1	99.27
NC_071309.1	4081678	4084258	scf_29	4082552	4079999	-1	96.87
NC_071309.1	4084235	4084878	scf_29	4083188	4082612	-1	87.91
NC_071309.1	4084874	4087569	scf_29	4086128	4083441	-1	98.41
NC_071309.1	4087565	4090746	scf_29	4089577	4086373	-1	98.91
NC_071309.1	4090746	4101394	scf_29	4100372	4089664	-1	98.37
NC_071309.1	4106741	4107950	scf_29	4101560	4100368	-1	97.93
NC_071309.1	4108166	4119655	scf_29	4113019	4101563	-1	97.61
NC_071309.1	4119769	4125605	scf_29	4118927	4113019	-1	94.70
NC_071309.1	4130960	4141380	scf_29	4129383	4118987	-1	98.56
NC_071309.1	4145080	4145445	scf_29	4129747	4129377	-1	95.72
NC_071309.1	4151622	4154453	scf_29	4132597	4129769	-1	97.89
NC_071309.1	4154476	4198506	scf_29	4177523	4133501	-1	97.47
NC_071309.1	4198564	4202768	scf_29	4181711	4177511	-1	98.06
NC_071309.1	4202914	4217778	scf_29	4196705	4181713	-1	96.87
NC_071309.1	4220431	4220810	scf_29	4197080	4196701	-1	99.47
NC_071309.1	4220835	4221298	scf_29	4198032	4197618	-1	86.42
NC_071309.1	4221544	4221720	scf_29	4198210	4198031	-1	96.13
NC_071309.1	4221909	4222521	scf_29	4198904	4198292	-1	98.04
NC_071309.1	4223025	4258653	scf_29	4234638	4198940	-1	97.22
NC_071309.1	4258654	4279662	scf_29	4255716	4234747	-1	97.66
NC_071309.1	4279662	5576100	scf_29	5552356	4255830	-1	99.95
NC_071309.1	5576201	10014154	scf_29	9990463	5552459	-1	99.99
NC_071309.1	10021636	10023502	scf_34	5674	7541	-1	99.95
NC_071310.1	1	7194750	scf_9	7194801	2	-1	99.99
NC_071310.1	7194851	8889285	scf_9	8878052	7183613	-1	99.99
NC_071310.1	8889244	8893651	scf_9	8882460	8878053	-1	100.00
NC_071310.1	8893530	9622388	scf_9	9611208	8882297	-1	99.97
NC_071311.1	1	228064	scf_19	228064	1	-1	99.97
NC_071311.1	208066	549979	scf_19	549979	208066	-1	99.98
NC_071311.1	550288	554949	scf_19	554949	550288	-1	100.00
NC_071311.1	555073	558680	scf_19	558555	554948	-1	100.00
NC_071311.1	558556	9505799	scf_19	9505973	558556	-1	99.99
NC_071311.1	9505799	9518403	scf_19	9518714	9506129	-1	99.75
NC_071312.1	1	1492457	scf_30	7641473	9133929	-1	99.99
NC_071312.1	1489805	1492895	scf_30	7640980	7644070	-1	99.90
NC_071312.1	1493011	1495194	scf_30	7638796	7640979	-1	100.00
NC_071312.1	1495134	9130741	scf_30	3215	7638796	-1	99.99
NC_071313.1	1	16099	scf_27	8428257	8444323	-1	99.79
NC_071313.1	16031	16821	scf_27	8427467	8428257	-1	100.00
NC_071313.1	16905	1034689	scf_27	7409650	8427471	-1	99.99
NC_071313.1	1014680	1134993	scf_27	7309337	7429652	-1	99.99
NC_071313.1	1115005	7618274	scf_27	826099	7329335	-1	99.99
NC_071313.1	7598119	8410021	scf_27	34354	846246	-1	99.99
NC_071313.1	8404343	8415979	scf_38	14598	2962	-1	99.99
NC_071313.1	8418548	8420006	scf_33	19879	18421	-1	99.45
NC_071313.1	8420970	8426532	scf_31	1	5563	-1	100.00
NC_071313.1	8427966	8430378	scf_23	30811	33227	-1	99.79
NC_071313.1	8439628	8440033	scf_48	2437	2842	-1	100.00
NC_071314.1	13771	658414	scf_23	677871	33218	-1	99.99
NC_071314.1	656206	7460072	scf_23	7479200	675421	-1	99.99
NC_071314.1	7440082	7837045	scf_23	7856176	7459220	-1	99.99
NC_071314.1	7837146	8240467	scf_23	8259608	7856279	-1	99.99
NC_071314.1	8241391	8305671	scf_29	10066953	10002656	-1	99.94
NC_071314.1	8332968	8333061	scf_3	31310	31403	-1	100.00
NC_071315.1	1	1063998	scf_17	1063987	1	-1	99.99
NC_071315.1	1044001	1410418	scf_17	1410407	1043996	-1	99.99
NC_071315.1	1410519	1468407	scf_17	1468398	1410510	-1	99.99
NC_071315.1	1467637	7166152	scf_17	7166138	1467572	-1	99.99
NC_071316.1	1	55893	scf_20	55893	1	-1	100.00
NC_071316.1	53749	56855	scf_20	56795	53678	-1	99.65
NC_071316.1	56856	4947188	scf_20	4947086	56740	-1	99.99
NC_071316.1	4927199	7089549	scf_20	7089472	4927089	-1	99.99
NC_071316.1	7090461	7102032	scf_20	7100969	7089398	-1	100.00
NC_071317.1	14	1043198	scf_18	6086509	7129711	-1	99.99
NC_071317.1	1032808	6434020	scf_18	695708	6096899	-1	99.99
NC_071317.1	6434121	7080097	scf_18	49674	695605	-1	99.99
NC_071317.1	7080083	7096637	scf_18	33088	49641	-1	99.99
NC_071318.1	10743	37704	scf_23	8262859	8289814	-1	99.94
NC_071318.1	38611	1798369	scf_12	1765336	5562	-1	99.99
NC_071318.1	1778386	5535333	scf_12	5502249	1745339	-1	99.99
NC_071318.1	5514339	6760436	scf_12	6727372	5481267	-1	99.99
NC_071318.1	6740077	6937656	scf_12	6904579	6706993	-1	99.97
NC_071318.1	6930816	6960484	scf_47	1	29673	-1	99.99
NC_071318.1	6951916	6961723	scf_12	6917387	6907560	-1	99.72
NC_071318.1	6961989	6975917	scf_12	6931581	6917663	-1	99.93
NC_071318.1	6973392	7036173	scf_33	84453	21726	-1	99.87
NC_071319.1	1	77183	scf_22	6174353	6251542	-1	99.97
