Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
Bm_chr2	5512718	5617884	Pi_chr27	3338344	3440498	cccccc
Bm_chr2	5307822	5357098	Pi_chr27	3200123	3226299	cccccc
Bm_chr2	1442985	1514283	Pi_chr27	1144442	1199064	cccccc
Bm_chr2	6883548	6939174	Pi_chr27	4205197	4235160	cccccc
Bm_chr2	4100337	4119307	Pi_chr27	2449133	2495495	cccccc
Bm_chr2	716948	728966	Pi_chr27	662284	674439	cccccc
Bm_chr2	1734237	1823819	Pi_chr27	1345956	1406133	cccccc
Bm_chr2	4589386	4599916	Pi_chr27	2771112	2774094	cccccc
Bm_chr2	3076823	3079163	Pi_chr27	1695470	1696992	cccccc
Bm_chr2	636816	650881	Pi_chr27	579838	606071	cccccc
Bm_chr2	1303797	1361460	Pi_chr27	1081957	1115909	cccccc
Bm_chr2	5416529	5443606	Pi_chr27	3257458	3284956	cccccc
Bm_chr2	7883990	8076416	Pi_chr27	5129206	4992880	cccccc
Bm_chr2	2962203	3220768	Pi_chr27	1794947	1593805	cccccc
Bm_chr2	969876	1016470	Pi_chr27	916102	874151	cccccc
Bm_chr2	333838	389631	Pi_chr27	148966	118062	cccccc
Bm_chr2	2709682	2861656	Pi_chr27	1898803	1831749	cccccc
Bm_chr2	427913	533024	Pi_chr27	311586	216506	cccccc
Bm_chr2	6128286	6163714	Pi_chr27	3831029	3804101	cccccc
Bm_chr2	8302074	8357637	Pi_chr27	4718133	4656688	cccccc
Bm_chr2	134383	144933	Pi_chr27	478334	462088	cccccc
Bm_chr2	5567464	5578002	Pi_chr27	3402117	3390254	cccccc
Bm_chr2	254441	278503	Pi_chr27	206356	190271	cccccc
Bm_chr2	1472835	1494168	Pi_chr27	1186871	1166960	cccccc
Bm_chr2	6229332	6323518	Pi_chr27	3759114	3688764	cccccc
Bm_chr2	541338	556696	Pi_chr27	111147	100656	cccccc
Bm_chr2	4090955	4114030	Pi_chr27	2490204	2444651	cccccc
Bm_chr2	3281443	3343166	Pi_chr27	1564378	1513926	cccccc
Bm_chr2	225119	246753	Pi_chr27	375965	343929	cccccc
Bm_chr2	4791048	4809466	Pi_chr27	2901786	2889569	cccccc
Bm_chr3	10710224	10780365	Pi_chr14	2900188	2949102	cccccc
Bm_chr3	1747122	1906794	Pi_chr14	8871284	8986046	cccccc
Bm_chr3	340080	365642	Pi_chr14	9171665	9197308	cccccc
Bm_chr3	10638195	10666811	Pi_chr14	2977289	2994332	cccccc
Bm_chr3	8053973	8102025	Pi_chr14	4776561	4817994	cccccc
Bm_chr3	12580545	12611178	Pi_chr14	1762702	1772420	cccccc
Bm_chr3	9763797	9763797	Pi_chr14	3648461	3648461	cccccc
Bm_chr3	8808087	9542861	Pi_chr14	4271152	3774195	cccccc
Bm_chr3	10410225	11119072	Pi_chr14	3117299	2711103	cccccc
Bm_chr3	7828919	8273800	Pi_chr14	4976254	4654700	cccccc
Bm_chr3	6939808	7442733	Pi_chr14	5602223	5252800	cccccc
Bm_chr3	3819959	4203445	Pi_chr14	7376469	7126077	cccccc
Bm_chr3	9610061	9926108	Pi_chr14	3743369	3545576	cccccc
Bm_chr3	2472733	2670261	Pi_chr14	8355024	8208500	cccccc
Bm_chr3	3059189	3464554	Pi_chr14	7890561	7637281	cccccc
Bm_chr3	9971029	10273528	Pi_chr14	3363027	3193842	cccccc
Bm_chr3	3657637	3763302	Pi_chr14	7516631	7422340	cccccc
Bm_chr3	13904373	14115024	Pi_chr14	942806	763635	cccccc
Bm_chr3	8334788	8486878	Pi_chr14	4620441	4523622	cccccc
Bm_chr3	5055315	5117281	Pi_chr14	6701419	6659735	cccccc
Bm_chr3	1273588	1376915	Pi_chr14	9545134	9479851	cccccc
Bm_chr3	1915031	2133505	Pi_chr14	8738316	8578390	cccccc
Bm_chr3	12740129	13064799	Pi_chr14	1706174	1503610	cccccc
Bm_chr3	11219714	11310779	Pi_chr14	2644011	2574487	cccccc
Bm_chr3	12095037	12341497	Pi_chr14	2135300	1972749	cccccc
Bm_chr3	7503635	7696623	Pi_chr14	5205125	5052376	cccccc
Bm_chr3	1602102	1722435	Pi_chr14	9318798	9232202	cccccc
Bm_chr3	11431797	11533155	Pi_chr14	2491690	2404927	cccccc
Bm_chr3	2832200	3007201	Pi_chr14	8050940	7928760	cccccc
Bm_chr3	54305	128607	Pi_chr14	8820666	8759826	cccccc
Bm_chr3	2265345	2415336	Pi_chr14	8496345	8391531	cccccc
Bm_chr3	6273935	6380902	Pi_chr14	5987601	5914117	cccccc
Bm_chr3	12575900	12642938	Pi_chr14	1830539	1750951	cccccc
Bm_chr3	5466138	5579211	Pi_chr14	6437728	6362987	cccccc
Bm_chr3	6019539	6115851	Pi_chr14	6128284	6065278	cccccc
Bm_chr3	11894492	11989031	Pi_chr14	2268258	2199540	cccccc
Bm_chr3	5329005	5397147	Pi_chr14	6545459	6480838	cccccc
Bm_chr3	6170562	6203577	Pi_chr14	6033038	6013746	cccccc
Bm_chr3	14175889	14347840	Pi_chr14	744618	622896	cccccc
Bm_chr3	6764389	6861414	Pi_chr14	5686976	5626529	cccccc
Bm_chr3	12421176	12505691	Pi_chr14	1926699	1875415	cccccc
Bm_chr3	13797057	13818567	Pi_chr14	1028838	998864	cccccc
Bm_chr3	1111673	1158219	Pi_chr14	9698214	9662686	cccccc
Bm_chr3	15110707	15152692	Pi_chr14	78324	61818	cccccc
Bm_chr3	5797689	5829483	Pi_chr14	6250557	6225759	cccccc
Bm_chr3	13457605	13634686	Pi_chr14	1297001	1157604	cccccc
Bm_chr3	2764121	2779705	Pi_chr14	8107162	8089623	cccccc
Bm_chr3	13190913	13222420	Pi_chr14	1499619	1475521	cccccc
Bm_chr3	10851268	10878456	Pi_chr14	2887599	2849877	cccccc
Bm_chr3	9399895	9491906	Pi_chr14	3873591	3803926	cccccc
Bm_chr3	4720588	4803394	Pi_chr14	6914417	6874234	cccccc
Bm_chr3	4506545	4525538	Pi_chr14	6989696	6978698	cccccc
Bm_chr3	14848835	14854550	Pi_chr14	243569	239056	cccccc
Bm_chr3	1480585	1489890	Pi_chr14	9391900	9385812	cccccc
Bm_chr3	847466	848684	Pi_chr14	9920963	9919574	cccccc
Bm_chr3	519054	575727	Pi_chr14	10188788	10173391	cccccc
Bm_chr3	9814061	9925871	Pi_chr14	3618628	3545825	cccccc
Bm_chr3	10665830	10790217	Pi_chr14	2993321	2893677	cccccc
Bm_chr3	5726723	5735148	Pi_chr14	6277683	6271934	cccccc
Bm_chr3	7073589	7118676	Pi_chr14	5505340	5474160	cccccc
Bm_chr3	11237908	11296601	Pi_chr14	2632161	2581651	cccccc
Bm_chr3	10086833	10218146	Pi_chr14	3297564	3222991	cccccc
Bm_chr3	3315842	3325440	NW_026525664.1	12199327	12189686	cccccc
Bm_chr4	9381783	10233765	NW_026525664.1	6372326	6944784	cccccc
Bm_chr4	11810264	13206670	NW_026525664.1	8004872	8950755	cccccc
Bm_chr4	5022879	5939217	NW_026525661.1	3579528	4214570	cccccc
Bm_chr4	10464967	11433561	NW_026525664.1	7131025	7780612	cccccc
Bm_chr4	6285551	7103279	NW_026525664.1	4377679	4972628	cccccc
Bm_chr4	13782594	14249913	NW_026525664.1	9300776	9622121	cccccc
Bm_chr4	8463445	9123594	Pi_chr1	5792500	6293186	cccccc
Bm_chr4	4563395	4965881	Pi_chr1	3259346	3548621	cccccc
Bm_chr4	16980324	17399361	Pi_chr1	11403340	11733058	cccccc
Bm_chr4	7927635	8303162	Pi_chr1	5447246	5678062	cccccc
Bm_chr4	747809	1239373	Pi_chr1	658748	1047545	cccccc
Bm_chr4	7199067	7674001	Pi_chr1	5003334	5345524	cccccc
Bm_chr4	3649093	3751801	Pi_chr1	2636876	2731393	cccccc
Bm_chr4	1645647	1816205	Pi_chr1	1347234	1476954	cccccc
Bm_chr4	1341780	1564372	Pi_chr1	1109403	1300359	cccccc
Bm_chr4	397123	623298	Pi_chr1	347909	545972	cccccc
Bm_chr4	2077196	2373302	Pi_chr1	1647905	1880337	cccccc
Bm_chr4	4257324	4325087	Pi_chr1	3053647	3116243	cccccc
Bm_chr4	14471634	14577728	Pi_chr1	9748313	9823336	cccccc
Bm_chr4	15785728	15952899	Pi_chr1	10561631	10683568	cccccc
Bm_chr4	3949087	4145058	Pi_chr1	2853198	2989509	cccccc
Bm_chr4	14305878	14379074	Pi_chr1	9653507	9704924	cccccc
Bm_chr4	15371418	15654756	Pi_chr1	10286250	10453885	cccccc
Bm_chr4	4376854	4450544	Pi_chr1	3148763	3208321	cccccc
Bm_chr4	11645745	11704625	Pi_chr1	7893784	7941213	cccccc
Bm_chr4	14766815	14897659	Pi_chr1	9933774	10006001	cccccc
Bm_chr4	11489770	11583149	Pi_chr1	7786507	7857489	cccccc
Bm_chr4	10291811	10373081	Pi_chr1	6992263	7056090	cccccc
Bm_chr4	17854257	17895233	Pi_chr1	12013549	12054321	cccccc
Bm_chr4	6028939	6110671	Pi_chr1	4257976	4311820	cccccc
Bm_chr4	18456834	18533813	Pi_chr1	12486943	12550215	cccccc
Bm_chr4	9843884	9906592	Pi_chr1	6677561	6723496	cccccc
Bm_chr4	6663447	6808237	Pi_chr1	4612278	4759201	cccccc
Bm_chr4	14974212	15000941	Pi_chr1	10054263	10088930	cccccc
Bm_chr4	4656930	4965216	Pi_chr1	3342013	3547963	cccccc
Bm_chr4	2452327	2481434	Pi_chr1	1950773	1980783	cccccc
Bm_chr4	17626903	17693670	Pi_chr1	11864597	11917339	cccccc
Bm_chr4	16692443	16781755	Pi_chr1	11192600	11258829	cccccc
Bm_chr4	17772985	17803656	Pi_chr1	11957613	11979728	cccccc
Bm_chr4	67519	129504	Pi_chr1	135303	178923	cccccc
Bm_chr4	9961583	10203597	Pi_chr1	6753546	6923685	cccccc
Bm_chr4	11210299	11353121	Pi_chr1	7589177	7699083	cccccc
Bm_chr4	12030494	12186231	Pi_chr1	8129119	8269078	cccccc
Bm_chr4	3071416	3199176	Pi_chr1	2349056	2418398	cccccc
Bm_chr4	13439834	13447757	Pi_chr1	9102852	9110945	cccccc
Bm_chr4	3564638	3592627	Pi_chr1	2598342	2616413	cccccc
Bm_chr4	13294659	13374410	Pi_chr1	8999742	9060042	cccccc
Bm_chr4	3270126	3282420	Pi_chr1	2432666	2442931	cccccc
Bm_chr4	14988975	15000698	Pi_chr1	10077690	10080890	cccccc
Bm_chr4	9183927	9213050	Pi_chr1	6314086	6329415	cccccc
Bm_chr4	1866896	1866898	Pi_chr1	1516260	1516262	cccccc
Bm_chr4	14998851	15000911	Pi_chr1	10066589	10070673	cccccc
Bm_chr4	7800940	7866519	Pi_chr1	5401929	5425593	cccccc
Bm_chr4	8313378	8427482	Pi_chr1	5782941	5684170	cccccc
Bm_chr4	8193871	8230572	Pi_chr1	5617088	5595330	cccccc
Bm_chr4	13450466	13510956	Pi_chr1	9295799	9256805	cccccc
Bm_chr4	7283293	7335714	Pi_chr1	5094889	5061360	cccccc
Bm_chr4	8831664	8842411	Pi_chr1	6074481	6064994	cccccc
Bm_chr4	10764938	10771913	Pi_chr1	7330691	7324873	cccccc
Bm_chr4	11230216	11260456	Pi_chr1	7624446	7599930	cccccc
Bm_chr4	11229945	11266645	Pi_chr1	7624172	7619371	cccccc
Bm_chr4	4653940	4656944	Pi_chr1	3345098	3341999	cccccc
Bm_chr4	7488777	7508786	Pi_chr1	5211773	5200589	cccccc
Bm_chr4	13704347	13769542	Pi_chr1	9162306	9126779	cccccc
Bm_chr4	5216453	5216564	Pi_chr1	3703376	3703270	cccccc
Bm_chr4	11299947	11300097	Pi_chr1	7649515	7649364	cccccc
Bm_chr4	8269955	8272764	Pi_chr1	5643403	5641355	cccccc
Bm_chr4	7441541	7453531	Pi_chr1	5186654	5175420	cccccc
Bm_chr4	5919866	5921837	Pi_chr7	5149287	5148764	cccccc
Bm_chr5	5827265	5827448	Pi_chr1	8908501	8908333	cccccc
Bm_chr5	16615778	16766566	Pi_chr2	434897	547536	cccccc
Bm_chr5	9454940	9522770	Pi_chr2	6298023	6345212	cccccc
Bm_chr5	16944863	16998842	Pi_chr2	659239	693875	cccccc
Bm_chr5	16319034	16422117	Pi_chr2	268755	312929	cccccc
Bm_chr5	107746	131705	Pi_chr2	12448484	12469944	cccccc
Bm_chr5	18120082	18154792	Pi_chr2	1755493	1777823	cccccc
Bm_chr5	15907243	15923048	Pi_chr2	2223969	2234259	cccccc
Bm_chr5	9617525	9627557	Pi_chr2	6226437	6233739	cccccc
Bm_chr5	7625141	7631114	Pi_chr2	7567313	7570733	cccccc
Bm_chr5	819831	828215	Pi_chr2	11934366	11948089	cccccc
Bm_chr5	1806829	1824146	Pi_chr2	11151240	11167866	cccccc
Bm_chr5	14087294	14093301	Pi_chr2	3385351	3388401	cccccc
Bm_chr5	6360912	6406784	Pi_chr2	8299046	8328868	cccccc
Bm_chr5	9582886	9593923	Pi_chr2	6253758	6257472	cccccc
Bm_chr5	9597327	9606822	Pi_chr2	6236541	6243671	cccccc
Bm_chr5	18982953	19011631	Pi_chr2	75112	94942	cccccc
Bm_chr5	5827281	5827366	Pi_chr2	11990979	11991061	cccccc
Bm_chr5	9090783	10175045	Pi_chr2	6590633	5838898	cccccc
Bm_chr5	12719184	13582606	Pi_chr2	4250862	3700488	cccccc
Bm_chr5	7487580	7985983	Pi_chr2	7663805	7333018	cccccc
Bm_chr5	11852189	12433466	Pi_chr2	4791472	4453801	cccccc
Bm_chr5	10229930	10774868	Pi_chr2	5805475	5458909	cccccc
Bm_chr5	11686134	11794216	Pi_chr2	4898684	4831895	cccccc
Bm_chr5	935351	1321976	Pi_chr2	11830473	11545883	cccccc
Bm_chr5	15075882	15208015	Pi_chr2	2801378	2709209	cccccc
Bm_chr5	8418773	8750380	Pi_chr2	7058784	6820255	cccccc
Bm_chr5	4797166	5091230	Pi_chr2	9285411	9083396	cccccc
Bm_chr5	13652095	13928422	Pi_chr2	3645524	3482781	cccccc
Bm_chr5	14053882	14321522	Pi_chr2	3409651	3242934	cccccc
Bm_chr5	5354854	5691265	Pi_chr2	8952267	8721104	cccccc
Bm_chr5	18514889	18757803	Pi_chr2	1435262	1234481	cccccc
Bm_chr5	1744653	1968507	Pi_chr2	11195613	11040191	cccccc
Bm_chr5	6248049	6467706	Pi_chr2	8415953	8256873	cccccc
Bm_chr5	5777796	6063935	Pi_chr2	8665339	8516960	cccccc
Bm_chr5	2764574	3086967	Pi_chr2	10557441	10382595	cccccc
Bm_chr5	8144073	8342269	Pi_chr2	7240326	7098297	cccccc
Bm_chr5	3374206	3614242	Pi_chr2	10168453	10044833	cccccc
Bm_chr5	8878190	9009536	Pi_chr2	6728190	6643892	cccccc
Bm_chr5	15463471	15551506	Pi_chr2	2548352	2487474	cccccc
Bm_chr5	17624800	17792310	Pi_chr2	2122674	2000400	cccccc
Bm_chr5	4575295	4617543	Pi_chr2	9444047	9412424	cccccc
Bm_chr5	11155276	11270173	Pi_chr2	5223114	5126320	cccccc
Bm_chr5	10950037	11009413	Pi_chr2	5331704	5295149	cccccc
Bm_chr5	14677503	14923892	Pi_chr2	3079484	2895188	cccccc
Bm_chr5	6559711	6742392	Pi_chr2	8247485	8129695	cccccc
Bm_chr5	3691070	3783090	Pi_chr2	9994603	9920486	cccccc
Bm_chr5	15819930	15897255	Pi_chr2	2353703	2289801	cccccc
Bm_chr5	18038361	18149723	Pi_chr2	1847197	1772858	cccccc
Bm_chr5	2318176	2389790	Pi_chr2	10817374	10780253	cccccc
Bm_chr5	3865357	3872792	Pi_chr2	9900689	9896358	cccccc
Bm_chr5	8804770	8827222	Pi_chr2	6788956	6770209	cccccc
Bm_chr5	15285401	15364088	Pi_chr2	2655051	2598412	cccccc
Bm_chr5	18409601	18448556	Pi_chr2	1564290	1515195	cccccc
Bm_chr5	1564006	1615876	Pi_chr2	11330360	11292608	cccccc
Bm_chr5	4168623	4254234	Pi_chr2	9707762	9641678	cccccc
Bm_chr5	643246	713192	Pi_chr2	12058907	12015091	cccccc
Bm_chr5	12582262	12648928	Pi_chr2	4339553	4265234	cccccc
Bm_chr5	15684166	15727496	Pi_chr2	2415364	2393713	cccccc
Bm_chr5	9247962	9474054	Pi_chr2	6488313	6312669	cccccc
Bm_chr5	7131572	7174769	Pi_chr2	7902611	7867770	cccccc
Bm_chr5	12497577	12516784	Pi_chr2	4409027	4391966	cccccc
Bm_chr5	61221	125639	Pi_chr2	12487035	12464996	cccccc
Bm_chr5	17360959	17431254	Pi_chr2	914878	857527	cccccc
Bm_chr5	18828583	18874961	Pi_chr2	1185472	1138764	cccccc
Bm_chr5	226946	268383	Pi_chr2	12426523	12389708	cccccc
Bm_chr5	14490380	14531601	Pi_chr2	3162105	3148891	cccccc
Bm_chr5	4466165	4506386	Pi_chr2	9515795	9487481	cccccc
Bm_chr5	16089655	16118865	Pi_chr2	2213449	2195803	cccccc
Bm_chr5	11408579	11452900	Pi_chr2	5049743	5030429	cccccc
Bm_chr5	6832153	6891098	Pi_chr2	8071712	8028127	cccccc
Bm_chr5	9765502	9893261	Pi_chr2	6138995	6032315	cccccc
Bm_chr5	11073819	11089576	Pi_chr2	5270717	5264624	cccccc
Bm_chr5	7064678	7065189	Pi_chr2	7935988	7935080	cccccc
Bm_chr5	2541523	2589278	Pi_chr2	10655732	10630969	cccccc
Bm_chr5	13747435	13806653	Pi_chr2	3607779	3543685	cccccc
Bm_chr5	11320454	11334715	Pi_chr2	5092495	5082733	cccccc
Bm_chr5	788166	828215	Pi_chr2	11973479	11948089	cccccc
Bm_chr5	1393678	1451606	Pi_chr2	11475458	11427210	cccccc
Bm_chr5	5801452	5880187	Pi_chr2	8653372	8615582	cccccc
Bm_chr5	9555041	9672774	Pi_chr2	6268324	6200306	cccccc
Bm_chr5	11605671	11605744	Pi_chr26	6214152	6307805	cccccc
Bm_chr6	3395433	3395545	Pi_chr6	5384756	5384660	cccccc
Bm_chr6	676050	941131	Pi_chr9	10767003	10922738	cccccc
Bm_chr6	8849552	9078224	Pi_chr9	4902578	5066676	cccccc
Bm_chr6	481479	606439	Pi_chr9	10618910	10721111	cccccc
Bm_chr6	2461720	2493524	Pi_chr9	9389842	9410413	cccccc
Bm_chr6	11247937	11259409	Pi_chr9	3737883	3750119	cccccc
Bm_chr6	1802085	1817754	Pi_chr9	9880641	9895645	cccccc
Bm_chr6	7021729	7031744	Pi_chr9	6381638	6386820	cccccc
Bm_chr6	9179960	9216805	Pi_chr9	5125135	5143769	cccccc
Bm_chr6	9677406	9680812	Pi_chr9	4550068	4552196	cccccc
Bm_chr6	6703071	6703261	Pi_chr9	6586401	6586636	cccccc
Bm_chr6	5271245	6383446	Pi_chr9	7651761	6826874	cccccc
Bm_chr6	6896010	7922547	Pi_chr9	6478085	5687142	cccccc
